"obs","InvEventFK","InvCount","InvName","sitetaxa","newtaxa","sing_doub","uniq_dup"
"221",7138,"CBay13_0351",24,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"222",7157,"CBay13_0086",25,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"223",7223,"CBay13_0161",28,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"224",7234,"CBay13_0107",29,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"225",7258,"CBay13_0231",30,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"226",7291,"CBay13_1505",31,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"227",7317,"CBay13_0158",32,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"228",7412,"CBay13_1522",38,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"229",7423,"CBay13_0174",39,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"230",7437,"CBay13_0095",40,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"231",7462,"CBay13_0167",42,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"232",7475,"CBay13_0238",43,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"233",7484,"CBay13_0065",44,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"234",754,"CBay13_0385",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"235",7613,"CBay13_0200",57,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"236",7614,"CBay13_0076",57,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"237",7621,"CBay13_0050",58,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"238",7778,"CBay13_1533",89,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"239",7880,"CBay13_0356",126,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"240",962,"CBay13_0273",1,"Amnicola limosa","Amnicola limosa","Amnicola limosa",0,0
"241",6216,"CBay13_1634",9,"Hydrobiidae","Amnicola limosa","Amnicola limosa",0,0
"242",6571,"CBay13_0171",13,"Hydrobiidae","Hydrobiidae","Amnicola limosa",0,0
"243",6753,"CBay13_0095",15,"Hydrobiidae","Amnicola limosa","Amnicola limosa",0,0
"244",1380,"CBay13_0095",1,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"245",3400,"CBay13_0064",2,"Gastropoda","Neotaenioglossaÿ","Amnicola limosa",0,0
"246",3826,"CBay13_1532",2,"Gastropoda","Neotaenioglossaÿ","Amnicola limosa",0,0
"247",3873,"CBay13_1644",2,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"248",4110,"CBay13_0042",3,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"249",432,"CBay13_0014",1,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"250",4641,"CBay13_1564",3,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"251",4643,"CBay13_1640",3,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"252",4972,"CBay13_0018",4,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"253",5130,"CBay13_1618",4,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"254",5311,"CBay13_0349",5,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"255",5509,"CBay13_1570",5,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"256",6131,"CBay13_0149",8,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"257",6403,"CBay13_0033",11,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"258",6637,"CBay13_1595",13,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"259",6644,"CBay13_0293",13,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"260",6896,"CBay13_0277",18,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"261",6954,"CBay13_0101",19,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"262",7113,"CBay13_0008",23,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"263",7167,"CBay13_1505",25,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"264",7345,"CBay13_0257",34,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"265",7973,"CBay13_0356",298,"Gastropoda","Amnicola limosa","Amnicola limosa",0,0
"266",1347,"CBay13_0024",1,"Hydrobiidae","Amnicola limosa","Amnicola limosa",0,0
"267",1643,"CBay13_0200",1,"Hydrobiidae","Amnicola limosa","Amnicola limosa",0,0
"268",1661,"CBay13_0088",1,"Hydrobiidae","Hydrobiidae","Amnicola limosa",0,0
"269",1670,"CBay13_0344",1,"Hydrobiidae","Hydrobiidae","Amnicola limosa",0,0
"270",1750,"CBay13_0156",1,"Hydrobiidae","Hydrobiidae","Amnicola limosa",0,0
"271",1929,"CBay13_1549",1,"Hydrobiidae","Hydrobiidae","Amnicola limosa",0,0
